Timestamp,UTC,Callsign,Position
1531342328,2018-07-11T20:52:08Z,KNE434,"18.920517,41.68095"
1531342390,2018-07-11T20:53:10Z,KNE434,"18.996805,41.578457"
1531342453,2018-07-11T20:54:13Z,KNE434,"19.077667,41.469807"
1531342523,2018-07-11T20:55:23Z,KNE434,"19.171326,41.343563"
1531342602,2018-07-11T20:56:42Z,KNE434,"19.283707,41.191471"
1531342665,2018-07-11T20:57:45Z,KNE434,"19.369583,41.07494"
1531342725,2018-07-11T20:58:45Z,KNE434,"19.451706,40.956295"
1531342734,2018-07-11T20:58:54Z,KNE434,"19.462978,40.939602"
1531342828,2018-07-11T21:00:28Z,KNE434,"19.587505,40.75753"
1531342891,2018-07-11T21:01:31Z,KNE434,"19.671999,40.634232"
1531342958,2018-07-11T21:02:38Z,KNE434,"19.760447,40.504642"
1531342983,2018-07-11T21:03:03Z,KNE434,"19.792419,40.457691"
1531343074,2018-07-11T21:04:34Z,KNE434,"19.912348,40.281521"
1531343135,2018-07-11T21:05:35Z,KNE434,"19.994371,40.160671"
1531343195,2018-07-11T21:06:35Z,KNE434,"20.073605,40.043869"
1531343260,2018-07-11T21:07:40Z,KNE434,"20.156048,39.921471"
1531343319,2018-07-11T21:08:39Z,KNE434,"20.238865,39.8167"
1531343381,2018-07-11T21:09:41Z,KNE434,"20.336838,39.736763"
1531343445,2018-07-11T21:10:45Z,KNE434,"20.444321,39.681831"
1531343507,2018-07-11T21:11:47Z,KNE434,"20.54924,39.635777"
1531343571,2018-07-11T21:12:51Z,KNE434,"20.649595,39.59198"
1531343605,2018-07-11T21:13:25Z,KNE434,"20.699871,39.569859"
1531343635,2018-07-11T21:13:55Z,KNE434,"20.744843,39.550144"
1531343669,2018-07-11T21:14:29Z,KNE434,"20.792557,39.52911"
1531343701,2018-07-11T21:15:01Z,KNE434,"20.840195,39.508209"
1531343731,2018-07-11T21:15:31Z,KNE434,"20.882822,39.489506"
1531343762,2018-07-11T21:16:02Z,KNE434,"20.926941,39.470051"
1531343783,2018-07-11T21:16:23Z,KNE434,"20.952045,39.449657"
1531343789,2018-07-11T21:16:29Z,KNE434,"20.957258,39.441868"
1531343796,2018-07-11T21:16:36Z,KNE434,"20.961594,39.433121"
1531343805,2018-07-11T21:16:45Z,KNE434,"20.967178,39.419827"
1531343830,2018-07-11T21:17:10Z,KNE434,"20.981466,39.382442"
1531343843,2018-07-11T21:17:23Z,KNE434,"20.987961,39.365044"
1531343855,2018-07-11T21:17:35Z,KNE434,"20.994221,39.348083"
1531343868,2018-07-11T21:17:48Z,KNE434,"21.000183,39.331692"
1531343879,2018-07-11T21:17:59Z,KNE434,"21.005768,39.316097"
1531343891,2018-07-11T21:18:11Z,KNE434,"21.011398,39.3004"
1531343905,2018-07-11T21:18:25Z,KNE434,"21.016891,39.285198"
1531343916,2018-07-11T21:18:36Z,KNE434,"21.022293,39.27063"
1531343928,2018-07-11T21:18:48Z,KNE434,"21.027557,39.256798"
1531343940,2018-07-11T21:19:00Z,KNE434,"21.032906,39.242657"
1531343953,2018-07-11T21:19:13Z,KNE434,"21.038214,39.228413"
1531343965,2018-07-11T21:19:25Z,KNE434,"21.043488,39.2146"
1531343978,2018-07-11T21:19:38Z,KNE434,"21.048735,39.201"
1531343989,2018-07-11T21:19:49Z,KNE434,"21.05397,39.187634"
1531343998,2018-07-11T21:19:58Z,KNE434,"21.058929,39.177959"
1531344007,2018-07-11T21:20:07Z,KNE434,"21.065643,39.170456"
1531344017,2018-07-11T21:20:17Z,KNE434,"21.074295,39.165409"
1531344023,2018-07-11T21:20:23Z,KNE434,"21.081181,39.163666"
1531344048,2018-07-11T21:20:48Z,KNE434,"21.107208,39.167507"
1531344055,2018-07-11T21:20:55Z,KNE434,"21.114716,39.169155"
1531344070,2018-07-11T21:21:10Z,KNE434,"21.129827,39.172363"
1531344085,2018-07-11T21:21:25Z,KNE434,"21.145111,39.1754"
1531344097,2018-07-11T21:21:37Z,KNE434,"21.1577,39.177795"
1531344110,2018-07-11T21:21:50Z,KNE434,"21.170242,39.180191"
1531344129,2018-07-11T21:22:09Z,KNE434,"21.188856,39.183758"
1531344140,2018-07-11T21:22:20Z,KNE434,"21.201612,39.186249"
1531344153,2018-07-11T21:22:33Z,KNE434,"21.21353,39.188587"
